rank,stadium,capacity,region,country,city,images,home_team,location
106,Shenyang Olympic Sports Centre Stadium,60000,East Asia,China,"Shenyang, Liaoning",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Shenyang_Olympic_Sports_Center_Stadium_drone_view_1.jpg/250px-Shenyang_Olympic_Sports_Center_Stadium_drone_view_1.jpg,,
107,Optus Stadium,60000,Oceania,Australia,"Perth, Western Australia",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Perth_Stadium_opening_210118_gnangarra-10.jpg/250px-Perth_Stadium_opening_210118_gnangarra-10.jpg,"Perth Glory FC, Fremantle Dockers, West Coast Eagles",
108,National Sports Stadium,60000,Africa,Zimbabwe,Harare,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/2003_Harare_Stadium%2C_Zimbabwe_557109164.jpg/250px-2003_Harare_Stadium%2C_Zimbabwe_557109164.jpg,Zimbabwe national football team,
109,Stade Tata Raphaël,60000,Africa,DR Congo,Kinshasa,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Stade_Tata_Rapha%C3%ABl_lors_d%27un_de_l%27AS_V.CLUB.jpg/250px-Stade_Tata_Rapha%C3%ABl_lors_d%27un_de_l%27AS_V.CLUB.jpg,"AS Vita Club, DC Motema Pembe",
110,Estadio Monumental Isidro Romero Carbo,59283,South America,Ecuador,Guayaquil,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Estadio_Monumental_de_Barcelona.jpg/250px-Estadio_Monumental_de_Barcelona.jpg,Barcelona Sporting Club,
111,Groupama Stadium,59186,Europe,France,Décines-Charpieu,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Stade_Lumi%C3%A8re.jpg/250px-Stade_Lumi%C3%A8re.jpg,Olympique Lyonnais,
112,Chongqing Olympic Sports Centre Stadium,58680,East Asia,China,Chongqing,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Chongqing_Olympic_Stadium.jpg/250px-Chongqing_Olympic_Stadium.jpg,,
113,Kazimierz Górski National Stadium,58580,Europe,Poland,Warsaw,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/National_Stadium_panorama.jpg/250px-National_Stadium_panorama.jpg,Poland national football team,
114,Stadio San Nicola,58270,Europe,Italy,"Bari, Apulia",https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Stadiosannicola2023.jpg/250px-Stadiosannicola2023.jpg,SSC Bari,
115,Deutsche Bank Park,58000,Europe,Germany,Frankfurt,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Commerzbank-Arena_%28Haupttrib%C3%BCne%29.JPG/250px-Commerzbank-Arena_%28Haupttrib%C3%BCne%29.JPG,Eintracht Frankfurt,
116,La Bombonera,57200,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/La_bombonera_panoramica.jpg/250px-La_bombonera_panoramica.jpg,CA Boca Juniors,
117,Volkspark­stadion,57030,Europe,Germany,Hamburg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Volksparkstadion_Panorama.jpg/250px-Volksparkstadion_Panorama.jpg,Hamburger SV,
118,Estadio Mario Alberto Kempes,57000,South America,Argentina,Córdoba,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Estadio_Kempes_luego_de_finalizar_un_partido.jpg/250px-Estadio_Kempes_luego_de_finalizar_un_partido.jpg,"Talleres de Córdoba, some Belgrano de Córdoba matches.",
119,Jinan Olympic Sports Centre Stadium,56808,East Asia,China,"Jinan, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/JinanOlympic.JPG/250px-JinanOlympic.JPG,Shandong Taishan,
120,Estadio Jalisco,56713,North America,Mexico,"Guadalajara, Jalisco",https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Estadio_Jalisco_06022022.jpg/250px-Estadio_Jalisco_06022022.jpg,Atlas,
121,Common­wealth Stadium,56302,North America,Canada,"Edmonton, Alberta",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Commonwealth_Stadium.jpg/250px-Commonwealth_Stadium.jpg,"Edmonton Elks, Canadian men's and women's national teams",
122,19 May 1956 Stadium,56000,Africa,Algeria,Annaba,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Annaba_Stadium.jpg/250px-Annaba_Stadium.jpg,USM Annaba,
123,Estadi Olímpic Lluís Companys,55926,Europe,Spain,"Barcelona, Catalonia",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Estadi_Ol%C3%ADmpic_Llu%C3%ADs_Companys_-_Barcelona%2C_Spain_-_Jan_2007.jpg/250px-Estadi_Ol%C3%ADmpic_Llu%C3%ADs_Companys_-_Barcelona%2C_Spain_-_Jan_2007.jpg,,
124,El Cilindro,55880,South America,Argentina,Avellaneda,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Racing_Club_vs._Corinthians_-_CONMEBOL_Sudamericana_2024.jpg/250px-Racing_Club_vs._Corinthians_-_CONMEBOL_Sudamericana_2024.jpg,Racing,
125,Arena do Grêmio,55662,South America,Brazil,"Porto Alegre, Rio Grande do Sul",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Arena_do_Gr%C3%AAmio.jpg/250px-Arena_do_Gr%C3%AAmio.jpg,Grêmio FBPA,
126,Arena Națională,55634,Europe,Romania,Bucharest,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Stadionul_National_-_National_Arena_3.jpg/250px-Stadionul_National_-_National_Arena_3.jpg,Romania national football team,
127,Stadion Rajko Mitić,55538,Europe,Serbia,Belgrade,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Zvezda_stadion.jpg/250px-Zvezda_stadion.jpg,"Red Star Belgrade, Serbia national football team",
128,Stadion Śląski,55211,Europe,Poland,Chorzów,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Widok_bramka.jpg/250px-Widok_bramka.jpg,"Poland national football team, Ruch Chorzów",
129,Etihad Stadium,55097,Europe,England,"Manchester, North West England",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Etihad_Stadium.jpg/250px-Etihad_Stadium.jpg,Manchester City,
130,Moi International Sports Centre,55000,Africa,Kenya,Nairobi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Inside_the_Kasarani_Stadium.jpg/250px-Inside_the_Kasarani_Stadium.jpg,Kenya national football team,
131,National Stadium,55000,Southeast Asia,Singapore,Singapore,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/SingaporeNationalStadiumJapanBrazilFootball.jpg/250px-SingaporeNationalStadiumJapanBrazilFootball.jpg,Singapore national football team,
132,National Stadium,55000,East Asia,Taiwan,Kaohsiung,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/The_Main_Stadium_for_2009_World_Games_panorama.jpg/250px-The_Main_Stadium_for_2009_World_Games_panorama.jpg,Chinese Taipei national football team,
133,He Long Stadium,55000,East Asia,China,"Changsha, Hunan",https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Helong_Stadium.jpg/250px-Helong_Stadium.jpg,,
134,Cape Town Stadium,55000,Africa,South Africa,"Cape Town, Western Cape",https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Cape_Town_Stadium_Inside.jpg/250px-Cape_Town_Stadium_Inside.jpg,"Cape Town City FC, DHL Western Cape Stormers",
135,Plovdiv Stadium,55000,Europe,Bulgaria,Plovdiv,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Plovdiv_Stadium.JPG/250px-Plovdiv_Stadium.JPG,,
136,Johan Cruijff Arena,54990,Europe,Netherlands,Amsterdam,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Ajax_0_Chelsea_1_%2823Oct19%29.jpg/250px-Ajax_0_Chelsea_1_%2823Oct19%29.jpg,AFC Ajax,
137,Tianhe Stadium,54856,East Asia,China,"Guangzhou, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Aerial_View%2C_Tianhe_Stadium_20250823-B.jpg/250px-Aerial_View%2C_Tianhe_Stadium_20250823-B.jpg,,
138,Stadio Diego Armando Maradona,54726,Europe,Italy,Naples,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Stadio_Maradona_Serie_A.jpg/250px-Stadio_Maradona_Serie_A.jpg,SSC Napoli,
139,Tianjin Olympic Sports Centre Stadium,54696,East Asia,China,Tianjin,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Tianjin_Olympic_Center_Stadium.jpg/250px-Tianjin_Olympic_Center_Stadium.jpg,Tianjin Teda,
140,MERKUR SPIEL-ARENA,54600,Europe,Germany,Düsseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/LTU_arena_panorama.jpg/250px-LTU_arena_panorama.jpg,Fortuna Düsseldorf,
141,Boris Paitchadze Dinamo Arena,54549,West Asia,Georgia,Tbilisi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Boris_Paichadze_Dinamo_Arena%2C_Samtredia_-_Qaraba%C4%9F.jpg/250px-Boris_Paichadze_Dinamo_Arena%2C_Samtredia_-_Qaraba%C4%9F.jpg,"Georgia national football team, FC Dinamo Tbilisi",
142,Wuhan Sports Centre Stadium,54357,East Asia,China,"Wuhan, Hubei",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Wuhan_Sport_Centre_01.jpg/250px-Wuhan_Sport_Centre_01.jpg,,
143,BC Place Stadium,54320,North America,Canada,"Vancouver, British Columbia",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/BC_Place_2015_Women%27s_FIFA_World_Cup.jpg/250px-BC_Place_2015_Women%27s_FIFA_World_Cup.jpg,"Vancouver Whitecaps FC, BC Lions",
144,Hrazdan Stadium,54208,West Asia,Armenia,Yerevan,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/HrazdanArmeniaTurkey.JPG/250px-HrazdanArmeniaTurkey.JPG,"FC Ararat Yerevan, Ulisses FC",
145,War Memorial Stadium,54120,North America,United States,"Little Rock, Arkansas",https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/USACE_personnel_on_War_Memorial_Stadium_field.jpg/250px-USACE_personnel_on_War_Memorial_Stadium_field.jpg,Little Rock Rangers,
146,BORUSSIA-PARK,54057,Europe,Germany,Mönchen­gladbach,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Borussia-Park_DEU-FRA_2011.jpg/250px-Borussia-Park_DEU-FRA_2011.jpg,Borussia Mönchengladbach,
147,Moses Mabhida Stadium,54000,Africa,South Africa,"Durban, KwaZulu-Natal",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/FIFA_World_Cup_2010_Netherlands_Japan.jpg/250px-FIFA_World_Cup_2010_Netherlands_Japan.jpg,"AmaZulu FC, Cell C Durban Sharks",
148,RAMS Park,53978,Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Galatasaray_Arena_North-West_Corner.jpg/250px-Galatasaray_Arena_North-West_Corner.jpg,Galatasaray,
149,Busan Asiad Main Stadium,53864,East Asia,South Korea,Busan,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/BusanAsiadStadium.jpg/250px-BusanAsiadStadium.jpg,Busan IPark,
150,Estádio Estadual Jornalista Edgar Augusto Proença,53645,South America,Brazil,"Belém, Pará",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Mangueir%C3%A3o_em_2023.jpg/250px-Mangueir%C3%A3o_em_2023.jpg,"Paysandu SC, Clube do Remo, Tuna Luso Brasileira, SC Belem",
151,Estadio Único Diego Armando Maradona,53600,South America,Argentina,La Plata,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/EstadioUnicoLaPlata_Interior_June2014.jpg/250px-EstadioUnicoLaPlata_Interior_June2014.jpg,,
152,Adelaide Oval,53500,Oceania,Australia,"Adelaide, South Australia",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/After_Game_Kick_and_Catch_%2813750115664%29.jpg/250px-After_Game_Kick_and_Catch_%2813750115664%29.jpg,"Adelaide Crows, Port Adelaide Power",
153,Docklands Stadium,53359,Oceania,Australia,"Melbourne, Victoria",https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Melbourne_Derby_December_2014.jpg/250px-Melbourne_Derby_December_2014.jpg,"Western Bulldogs, Essendon, St. Kilda, Carlton, North Melbourne",
154,Estádio Municipal João Havelange,53350,South America,Brazil,"Uberlândia, Minas Gerais",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Est%C3%A1dio_Parque_do_Sabi%C3%A1.jpg/250px-Est%C3%A1dio_Parque_do_Sabi%C3%A1.jpg,Uberlânia EC,
155,San Mamés,53332,Europe,Spain,Bilbao,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/San_Mames%2C_Bilbao%2C_Euskal_Herria_-_Basque_Country.jpg/250px-San_Mames%2C_Bilbao%2C_Euskal_Herria_-_Basque_Country.jpg,Athletic Bilbao,
156,Aleppo International Stadium,53200,West Asia,Syria,Aleppo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Aleppo_International_Stadium%2C_day_view%2C_2009_%281%29.jpg/250px-Aleppo_International_Stadium%2C_day_view%2C_2009_%281%29.jpg,Al-Ittihad,
157,Estadio Nacional,53086,South America,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Estadio_Nacional_nuevo_07_10_2011.jpg/250px-Estadio_Nacional_nuevo_07_10_2011.jpg,Peru national football team,
158,Hill Dickinson Stadium,52769,Europe,England,Liverpool,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/The_wide_view.jpg/250px-The_wide_view.jpg,Everton FC,
159,Huanglong Stadium,52672,East Asia,China,"Hangzhou, Zhejiang",https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Hangzhou-yellow-dragon-stad.jpg/250px-Hangzhou-yellow-dragon-stad.jpg,Zhejiang Professional,
160,Suncorp Stadium,52500,Oceania,Australia,"Brisbane, Queensland",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Suncorpstadium071006a.JPG/250px-Suncorpstadium071006a.JPG,"Brisbane Broncos, Queensland Maroons, Brisbane Roar FC, Queensland Reds",
161,St. James' Park,52405,Europe,England,"Newcastle upon Tyne, North East",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/StJamesParkPanorama.jpg/250px-StJamesParkPanorama.jpg,Newcastle United,
162,Estádio José Alvalade,52095,Europe,Portugal,Lisbon,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Est%C3%A1dio_Jos%C3%A9_Alvalade_antes_do_jogo_Sporting_-_Arouca.jpg/250px-Est%C3%A1dio_Jos%C3%A9_Alvalade_antes_do_jogo_Sporting_-_Arouca.jpg,Sporting CP,
163,Kings Park Stadium,52000,Africa,South Africa,"Durban, KwaZulu-Natal",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Kings_Park_panorama.jpg/250px-Kings_Park_panorama.jpg,"Lamontville Golden Arrows, Cell C Durban Sharks",
164,Newlands Stadium,51900,Africa,South Africa,"Cape Town, Western Cape",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Proudly_South_African.jpg/250px-Proudly_South_African.jpg,,
165,Hampden Park,51866,Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Hampden_Park%2C_January_2023.jpg/250px-Hampden_Park%2C_January_2023.jpg,"Scotland national football team, Queen's Park",
166,Estadio Monumental de Maturín,51796,South America,Venezuela,Maturín,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Monumental_de_maturin_3.jpg/250px-Monumental_de_maturin_3.jpg,Monagas Sport Club,
167,Loftus Versfeld Stadium,51762,Africa,South Africa,"Pretoria, Gauteng",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Loftus_Versfeld_Game_Night.JPG/250px-Loftus_Versfeld_Game_Night.JPG,SuperSport United and Vodacom Pretoria Bulls,
168,Aviva Stadium,51711,Europe,Ireland,Dublin,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Aviva_Stadium_Panoramic.jpg/250px-Aviva_Stadium_Panoramic.jpg,"Leinster Rugby, Republic of Ireland national football team, Ireland national rugby union team",
169,Ibrox Stadium,51700,Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Rangers-SM_%281%29.jpg/250px-Rangers-SM_%281%29.jpg,Rangers FC,
170,Guiyang Olympic Sports Centre Stadium,51638,East Asia,China,"Guiyang, Guizhou",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Guiyang_Olympic_Sports_Center.jpg/250px-Guiyang_Olympic_Sports_Center.jpg,,
171,Hohhot City Stadium,51632,East Asia,China,"Hohhot, Inner Mongolia",https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Hohhot_City_Stadium.jpg/250px-Hohhot_City_Stadium.jpg,,
172,Rajamangala National Stadium,51552,Southeast Asia,Thailand,Bangkok,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Rajamangala_Stadium_Panorama.jpg/250px-Rajamangala_Stadium_Panorama.jpg,Thailand national football team,
173,Donbas Arena,51504,Europe,Ukraine,Donetsk,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Donbass_Arena.jpg/250px-Donbass_Arena.jpg,,
174,İzmir Atatürk Stadyumu,51295,West Asia,Turkey,İzmir,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/%C4%B0zmir_Atat%C3%BCrk_Stadyumu.jpg/250px-%C4%B0zmir_Atat%C3%BCrk_Stadyumu.jpg,"Altay SK, Göztepe AŞ",
175,Stadion Feijenoord,51117,Europe,Netherlands,Rotterdam,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Rotterdam_De_Kuip_1.jpg/250px-Rotterdam_De_Kuip_1.jpg,Feyenoord,
176,Estadio BBVA,53529,North America,Mexico,Monterrey,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Estadio_BBVA.jpg/250px-Estadio_BBVA.jpg,CF Monterrey,
177,Ghadir Stadium,51000,West Asia,Iran,Ahvaz,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Al-Ghadeer_Stadium.jpg/250px-Al-Ghadeer_Stadium.jpg,Foolad FC,
178,Estádio José Pinheiro Borda,50942,South America,Brazil,Porto Alegre. Rio Grande do Sul,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Beira-Rio-Stadium-Porto-Alegre-Brazil.jpg/250px-Beira-Rio-Stadium-Porto-Alegre-Brazil.jpg,SC Internacional,
179,Shizuoka Stadium,50889,East Asia,Japan,"Fukuroi, Shizuoka",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Ecopa030304.jpg/250px-Ecopa030304.jpg,"Júbilo Iwata, Shimizu S-Pulse, Shizuoka Blue Revs",
180,Ernst-Happel-Stadion,50865,Europe,Austria,Vienna,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/EM_2008_Elfmeter_Kroatien_%C3%96sterreich.jpg/250px-EM_2008_Elfmeter_Kroatien_%C3%96sterreich.jpg,Austria national football team,
181,Hocine Ait Ahmed Stadium,50766,Africa,Algeria,Tizi Ouzou,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Tizi_Ouzou_Stadium_at_night.jpg/250px-Tizi_Ouzou_Stadium_at_night.jpg,JS Kabylie,
182,Estadio Cuauhtémoc,50754,North America,Mexico,Puebla,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Rampa_norte.jpg/250px-Rampa_norte.jpg,Puebla FC,
183,Phoenix Hill Football Stadium,50695,Asia,China,Chengdu,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/%E6%88%90%E9%83%BD%E5%87%A4%E5%87%B0%E5%B1%B1%E4%BD%93%E8%82%B2%E5%85%AC%E5%9B%AD%E4%B8%93%E4%B8%9A%E8%B6%B3%E7%90%83%E5%9C%BA_Chengdu_Fenghuangshan_Sports_Park-football_stadium.jpg/250px-%E6%88%90%E9%83%BD%E5%87%A4%E5%87%B0%E5%B1%B1%E4%BD%93%E8%82%B2%E5%85%AC%E5%9B%AD%E4%B8%93%E4%B8%9A%E8%B6%B3%E7%90%83%E5%9C%BA_Chengdu_Fenghuangshan_Sports_Park-football_stadium.jpg,Chengdu Rongcheng,
184,Strawberry Arena,50653,Europe,Sweden,Solna,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/FriendsArena_SwedenSpain.jpg/250px-FriendsArena_SwedenSpain.jpg,"Sweden men's national football team, AIK Fotboll",
185,Ülker Stadyumu,50509,West Asia,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Sukrusaracoglu.jpg/250px-Sukrusaracoglu.jpg,Fenerbahçe,
186,Stade Pierre-Mauroy,50186,Europe,France,Villeneuve-d'Ascq,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Russia_v_Slovakia_%282016-06-15%29_18.jpg/250px-Russia_v_Slovakia_%282016-06-15%29_18.jpg,Lille OSC,
187,Stade Roi Baudouin,50122,Europe,Belgium,Brussels,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Stade_Roi_Baudouin.JPG/250px-Stade_Roi_Baudouin.JPG,Belgium national football team,
188,Shaanxi Province Stadium,50100,East Asia,China,"Xi'an, Shaanxi",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,
189,Ajinomoto Stadium,50100,East Asia,Japan,"Chofu, Tokyo",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Ajinomoto_Stadium_2018-13.jpg/250px-Ajinomoto_Stadium_2018-13.jpg,"FC Tokyo, Tokyo Verdy, Tokyo Sungoliath, Toshiba Brave Lupus Tokyo",
190,Estádio do Dragão,50033,Europe,Portugal,Porto,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Porto_Est%C3%A1dio_do_Drag%C3%A3o_2.jpg/250px-Porto_Est%C3%A1dio_do_Drag%C3%A3o_2.jpg,FC Porto,
191,Casa de Apostas Arena Fonte Nova,50025,South America,Brazil,"Salvador, Bahia",https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Arena_Fonte_Nova_External_View.jpg/250px-Arena_Fonte_Nova_External_View.jpg,EC Bahia,
192,Kai Tak Stadium,50000,East Asia,Hong Kong,Kowloon City,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/2024%E5%B9%B410%E6%9C%88-%E5%95%9F%E5%BE%B7%E9%AB%94%E8%82%B2%E5%9C%92.jpg/250px-2024%E5%B9%B410%E6%9C%88-%E5%95%9F%E5%BE%B7%E9%AB%94%E8%82%B2%E5%9C%92.jpg,Hong Kong national football team,
193,Stade Olympique de Sousse,50000,Africa,Tunisia,Sousse,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Stade_olympique_de_Sousse%2C_vue_panoramique%2C_1_Mars_2025.jpg/250px-Stade_olympique_de_Sousse%2C_vue_panoramique%2C_1_Mars_2025.jpg,Étoile du Sahel,
194,Rhein­Energie­STADION,50000,Europe,Germany,Cologne,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/FIFA_WM06_Stadion_Koeln.jpg/250px-FIFA_WM06_Stadion_Koeln.jpg,1. FC Köln,
195,Harbin Sports City Centre Stadium,50000,East Asia,China,"Harbin, Heilongjiang",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,
196,Greenfield International Stadium,50000,South Asia,India,Trivandrum,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Greenfield_International_Stadium_Kerala.jpg/250px-Greenfield_International_Stadium_Kerala.jpg,,
197,EMS Stadium,50000,South Asia,India,Kozhikode,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Kozhikode_EMS_Stadium.jpg/250px-Kozhikode_EMS_Stadium.jpg,"India national football team, Gokulam Kerala FC",
198,KD Singh Babu Stadium,50000,South Asia,India,Lucknow,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/K_D_Singh_Babu_Stadium.jpg/250px-K_D_Singh_Babu_Stadium.jpg,,
199,Eden Park,50000,Oceania,New Zealand,Auckland,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Auckland_EdenPark.jpg/250px-Auckland_EdenPark.jpg,"Auckland Blues, New Zealand Warriors",
200,Estádio 11 de Novembro,50000,Africa,Angola,Luanda,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Football_stadium_%286178263468%29.jpg/250px-Football_stadium_%286178263468%29.jpg,"Angola national football team, Primeiro de Agosto, Petro Luanda",
201,Henan Provincial Stadium,50000,East Asia,China,"Zhengzhou, Henan",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,
202,Jiangxi Olympic Sports Center,50000,East Asia,China,"Nanchang, Jiangxi",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,
203,Max-Morlock-Stadion,50000,Europe,Germany,Nuremberg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Frankenstadion_2.JPG/250px-Frankenstadion_2.JPG,1. FC Nürnberg,
204,June 11 Stadium,50000,Africa,Libya,Tripoli,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/11_June_Stadium_BenTaher.jpg/250px-11_June_Stadium_BenTaher.jpg,"Libya, Al-Ahly SC, Al-Ittihad Tripoli, Al-Madina SC",
205,Xinjiang Sports Centre Stadium,50000,East Asia,China,"Urumqi, Xinjiang",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,
206,Kim Il-sung Stadium,50000,East Asia,North Korea,Pyongyang,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/North_Korea_v_Philippines%2C_8_October_2015_F.png/250px-North_Korea_v_Philippines%2C_8_October_2015_F.png,Pyongyang City Sports Club,
207,EDION Stadium Hiroshima,50000,East Asia,Japan,Hiroshima,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Big_Arch_Stadium_Panorama.jpg/250px-Big_Arch_Stadium_Panorama.jpg,Sanfrecce Hiroshima,
208,Pars Shiraz Stadium,50000,West Asia,Iran,Shiraz,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Pars_Stadium_Photos_Image_6.jpg/250px-Pars_Stadium_Photos_Image_6.jpg,Fajr Sepasi Shiraz FC,
209,Stade du 26 mars,50000,Africa,Mali,Bamako,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Stade Malien,
210,Stade Abdoulaye Wade,50000,Africa,Senegal,Dakar,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Senegal national football team,
211,Sultan Mizan Zainal Abidin Stadium,50000,Southeast Asia,Malaysia,Kuala Terengganu,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Sultan_Mizan_Zainal_Abidin_Stadium_%28Night%29_2021.jpg/250px-Sultan_Mizan_Zainal_Abidin_Stadium_%28Night%29_2021.jpg,Terengganu FA,
212,Estadio Akron,49850,North America,Mexico,Guadalajara,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Omnilife_Stadium.png/250px-Omnilife_Stadium.png,C.D. Guadalajara,
213,Levy Mwanawasa Stadium,49800,Africa,Zambia,Lusaka,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Zesco United,
214,Fritz-Walter-Stadion,49780,Europe,Germany,Kaiserslautern,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Kaiserslautern_18.JPG/250px-Kaiserslautern_18.JPG,1. FC Kaiserslautern,
